Wavenumber,Average_1630_Peak,1630_Peak_PCA_1,1630_Peak_PCA_2,1630_Peak_PCA_3
1251.596,0.0,0.0,0.0,0.0
1253.524,0.0,0.0,0.0,0.0
1255.453,0.0,0.0,0.0,0.0
1257.381,0.0,0.0,0.0,0.0
1259.31,0.0,0.0,0.0,0.0
1261.238,0.0,0.0,0.0,0.0
1263.167,0.0,0.0,0.0,0.0
1265.095,0.0,0.0,0.0,0.0
1267.024,0.0,0.0,0.0,0.0
1268.952,0.0,0.0,0.0,0.0
1270.88,0.0,0.0,0.0,0.0
1272.809,0.0,0.0,0.0,0.0
1274.738,0.0,0.0,0.0,0.0
1276.6660000000002,0.0,0.0,0.0,0.0
1278.594,0.0,0.0,0.0,0.0
1280.5230000000001,0.0,0.0,0.0,0.0
1282.452,0.0,0.0,0.0,0.0
1284.38,0.0,0.0,0.0,0.0
1286.308,0.0,0.0,0.0,0.0
1288.237,0.0,0.0,0.0,0.0
1290.1660000000002,0.0,0.0,0.0,0.0
1292.094,0.0,0.0,0.0,0.0
1294.022,0.0,0.0,0.0,0.0
1295.951,0.0,0.0,0.0,0.0
1297.88,0.0,0.0,0.0,0.0
1299.808,0.0,0.0,0.0,0.0
1301.736,0.0,0.0,0.0,0.0
1303.665,0.0,0.0,0.0,0.0
1305.594,0.0,0.0,0.0,0.0
1307.522,0.0,0.0,0.0,0.0
1309.45,0.0,0.0,0.0,0.0
1311.379,0.0,0.0,0.0,0.0
1313.307,0.0,0.0,0.0,0.0
1315.236,0.0,0.0,0.0,0.0
1317.164,0.0,0.0,0.0,0.0
1319.0929999999998,0.0,0.0,0.0,0.0
1321.021,0.0,0.0,0.0,0.0
1322.95,0.0,0.0,0.0,0.0
1324.878,0.0,0.0,0.0,0.0
1326.807,0.0,0.0,0.0,0.0
1328.735,0.0,0.0,0.0,0.0
1330.664,0.0,0.0,0.0,0.0
1332.592,0.0,0.0,0.0,0.0
1334.521,0.0,0.0,0.0,0.0
1336.4489999999998,0.0,0.0,0.0,0.0
1338.378,0.0,0.0,0.0,0.0
1340.307,0.0,0.0,0.0,0.0
